provincia,localidad,empresa,empresabandera,producto,fecha_vigencia,precio,fecha_descarga,precio_usd,dolar_bn
BUENOS AIRES,ACEVEDO,COOPERATIVA AGRICOLA GANADERA LIMITADA DE ACEVEDO,BLANCA,Nafta (premium) de más de 95 Ron,2023-09-04 15:08:00,431.8,2026-03-03,0.3009,1435.0
BUENOS AIRES,ACEVEDO,COOPERATIVA AGRICOLA GANADERA LIMITADA DE ACEVEDO,BLANCA,Nafta (súper) entre 92 y 95 Ron,2017-02-13 11:56:00,23.0,2026-03-03,0.016,1435.0
BUENOS AIRES,ADOLFO GONZALEZ CHAVEZ,ARRATE JOSE LUIS,PUMA,Gas Oil Grado 2,2025-11-26 00:00:00,1705.0,2026-03-03,1.1882,1435.0
BUENOS AIRES,ADOLFO GONZALEZ CHAVEZ,ARRATE JOSE LUIS,PUMA,Gas Oil Grado 3,2025-11-26 00:00:00,1873.0,2026-03-03,1.3052,1435.0
BUENOS AIRES,ADOLFO GONZALEZ CHAVEZ,ARRATE JOSE LUIS,PUMA,Nafta (premium) de más de 95 Ron,2025-11-26 00:00:00,1957.0,2026-03-03,1.3638,1435.0
BUENOS AIRES,ADOLFO GONZALEZ CHAVEZ,ARRATE JOSE LUIS,PUMA,Nafta (súper) entre 92 y 95 Ron,2025-11-26 00:00:00,1668.0,2026-03-03,1.1624,1435.0
BUENOS AIRES,ADOLFO GONZALEZ CHAVEZ,BARREIRO GLORIA I.B.DE Y BARREIRO ABEL H.,YPF,Gas Oil Grado 2,2025-06-01 00:00:00,1283.0,2026-03-03,0.8941,1435.0
BUENOS AIRES,ADOLFO GONZALEZ CHAVEZ,BARREIRO GLORIA I.B.DE Y BARREIRO ABEL H.,YPF,Gas Oil Grado 3,2025-06-01 00:00:00,1420.0,2026-03-03,0.9895,1435.0
BUENOS AIRES,ADOLFO GONZALEZ CHAVEZ,BARREIRO GLORIA I.B.DE Y BARREIRO ABEL H.,YPF,Nafta (premium) de más de 95 Ron,2025-06-01 00:00:00,1480.0,2026-03-03,1.0314,1435.0
BUENOS AIRES,ADOLFO GONZALEZ CHAVEZ,BARREIRO GLORIA I.B.DE Y BARREIRO ABEL H.,YPF,Nafta (súper) entre 92 y 95 Ron,2025-06-01 00:00:00,1288.0,2026-03-03,0.8976,1435.0
BUENOS AIRES,ADOLFO GONZALEZ CHAVEZ,BRUCAN COMBUSTIBLES SA,SHELL C.A.P.S.A.,Gas Oil Grado 2,2026-02-25 19:00:00,1817.0,2026-03-03,1.2662,1435.0
BUENOS AIRES,ADOLFO GONZALEZ CHAVEZ,BRUCAN COMBUSTIBLES SA,SHELL C.A.P.S.A.,Gas Oil Grado 3,2026-02-25 19:00:00,2115.0,2026-03-03,1.4739,1435.0
BUENOS AIRES,ADOLFO GONZALEZ CHAVEZ,BRUCAN COMBUSTIBLES SA,SHELL C.A.P.S.A.,Nafta (premium) de más de 95 Ron,2026-02-02 10:00:00,2020.0,2026-03-03,1.4077,1435.0
BUENOS AIRES,ADOLFO GONZALEZ CHAVEZ,BRUCAN COMBUSTIBLES SA,SHELL C.A.P.S.A.,Nafta (súper) entre 92 y 95 Ron,2026-02-02 10:00:00,1768.0,2026-03-03,1.2321,1435.0
BUENOS AIRES,ADOLFO GONZALEZ CHAVEZ,ENERGIA INTEGRAL S.A.,BLANCA,GNC,2020-09-29 18:57:00,32.99,2026-03-03,0.023,1435.0
BUENOS AIRES,ADOLFO GONZALEZ CHAVEZ,G.N.C. CHAVES S.A.,BLANCA,GNC,2025-11-12 17:38:00,799.0,2026-03-03,0.5568,1435.0
BUENOS AIRES,ADOLFO GONZALEZ CHAVEZ,JARA JUAN ENRIQUE,YPF,Gas Oil Grado 2,2025-06-01 00:00:00,1283.0,2026-03-03,0.8941,1435.0
BUENOS AIRES,ADOLFO GONZALEZ CHAVEZ,JARA JUAN ENRIQUE,YPF,Gas Oil Grado 3,2025-06-01 00:00:00,1420.0,2026-03-03,0.9895,1435.0
BUENOS AIRES,ADOLFO GONZALEZ CHAVEZ,JARA JUAN ENRIQUE,YPF,Nafta (premium) de más de 95 Ron,2025-06-01 00:00:00,1480.0,2026-03-03,1.0314,1435.0
BUENOS AIRES,ADOLFO GONZALEZ CHAVEZ,JARA JUAN ENRIQUE,YPF,Nafta (súper) entre 92 y 95 Ron,2025-06-01 00:00:00,1288.0,2026-03-03,0.8976,1435.0
BUENOS AIRES,ADROGUE,ADROGUE DENAK BAT S.A.,YPF,GNC,2025-08-08 18:31:00,449.0,2026-03-03,0.3129,1435.0
BUENOS AIRES,ADROGUE,ADROGUE DENAK BAT S.A.,YPF,Gas Oil Grado 2,2025-06-01 00:00:00,1221.0,2026-03-03,0.8509,1435.0
BUENOS AIRES,ADROGUE,ADROGUE DENAK BAT S.A.,YPF,Gas Oil Grado 3,2025-06-01 00:00:00,1402.0,2026-03-03,0.977,1435.0
BUENOS AIRES,ADROGUE,ADROGUE DENAK BAT S.A.,YPF,Nafta (premium) de más de 95 Ron,2025-06-01 00:00:00,1461.0,2026-03-03,1.0181,1435.0
BUENOS AIRES,ADROGUE,ADROGUE DENAK BAT S.A.,YPF,Nafta (súper) entre 92 y 95 Ron,2025-06-01 00:00:00,1248.0,2026-03-03,0.8697,1435.0
BUENOS AIRES,ADROGUE,CASTAÑO RADZIUSZ S.A.,SHELL C.A.P.S.A.,GNC,2024-03-22 12:31:00,399.0,2026-03-03,0.278,1435.0
BUENOS AIRES,ADROGUE,CASTAÑO RADZIUSZ S.A.,SHELL C.A.P.S.A.,Gas Oil Grado 2,2025-05-01 13:02:00,1280.0,2026-03-03,0.892,1435.0
BUENOS AIRES,ADROGUE,CASTAÑO RADZIUSZ S.A.,SHELL C.A.P.S.A.,Gas Oil Grado 3,2025-05-01 13:01:00,1511.0,2026-03-03,1.053,1435.0
BUENOS AIRES,ADROGUE,CASTAÑO RADZIUSZ S.A.,SHELL C.A.P.S.A.,Nafta (premium) de más de 95 Ron,2025-05-01 13:00:00,1543.0,2026-03-03,1.0753,1435.0
BUENOS AIRES,ADROGUE,CASTAÑO RADZIUSZ S.A.,SHELL C.A.P.S.A.,Nafta (súper) entre 92 y 95 Ron,2025-05-01 13:00:00,1299.0,2026-03-03,0.9052,1435.0
BUENOS AIRES,ADROGUE,CORIMAYO S.R.L.,SHELL C.A.P.S.A.,Gas Oil Grado 2,2026-03-03 07:03:00,1829.0,2026-03-03,1.2746,1435.0
